FTR	1.1879	1.43	2017-05-05 14:15:00 UTC+0000	1.44	0.6993006993007089%
VIAB	1.0979	36.46	2017-05-05 15:35:00 UTC+0000	36.525	0.17827756445418785%
AKAM	1.081	52.86	2017-05-05 16:27:00 UTC+0000	52.0499	-1.5325387816874758%
NRG	1.0569	14.60	2017-05-05 15:05:00 UTC+0000	14.90	2.0547945205479534%
MOS	1.0537	23.32	2017-05-05 16:57:00 UTC+0000	23.42	0.42881646655232863%
CTL	1.0535	23.74	2017-05-05 14:41:00 UTC+0000	23.62	-0.5054759898904693%
OKE	1.0431	49.34	2017-05-05 15:10:00 UTC+0000	49.88	1.0944466963923816%
LB	1.0431	49.44	2017-05-05 15:21:00 UTC+0000	50.37	1.8810679611650505%
FCX	1.0422	11.68	2017-05-05 14:18:00 UTC+0000	11.795	0.9845890410958846%
SWN	1.04	7.02	2017-05-05 16:17:00 UTC+0000	7.205	2.6353276353276334%
APC	1.0376	51.94	2017-05-05 14:41:00 UTC+0000	52.905	1.8579129765113667%
CHK	1.0338	5.13	2017-05-05 16:29:00 UTC+0000	5.40	5.2631578947368585%
LVLT	1.0329	57.81	2017-05-05 16:30:00 UTC+0000	57.63	-0.31136481577581643%
DVA	1.0325	65.24	2017-05-05 15:57:00 UTC+0000	65.09	-0.22992029429795835%
O	1.0324	55.78	2017-05-05 14:47:00 UTC+0000	56.3614	1.0423090713517436%
DVN	1.031	36.98	2017-05-05 15:05:00 UTC+0000	37.72	2.001081665765292%
MRO	1.0267	14.17	2017-05-05 14:42:00 UTC+0000	14.265	0.6704304869442623%
EQT	1.0244	56.25	2017-05-05 15:13:00 UTC+0000	57.30	1.866666666666661%
CHTR	1.0239	322.60	2017-05-05 15:24:00 UTC+0000	329.20	2.0458772473651576%
HCP	1.0238	29.90	2017-05-05 15:58:00 UTC+0000	30.10	0.6688963210702337%
AWK	1.0233	75.68	2017-05-05 15:55:00 UTC+0000	76.54	1.1363636363636465%
EOG	1.0228	88.60	2017-05-05 16:20:00 UTC+0000	90.02	1.6027088036117298%
MAC	1.0227	61.57	2017-05-05 14:12:00 UTC+0000	61.88	0.503491960370317%
WMB	1.0224	29.53	2017-05-05 15:15:00 UTC+0000	29.76	0.7788689468337218%
BHI	1.021	57.41	2017-05-05 15:25:00 UTC+0000	58.77	2.3689252743424705%
DISCA	1.0204	26.63	2017-05-05 16:36:00 UTC+0000	26.86	0.8636875704093105%
RRC	1.0202	25.47	2017-05-05 14:02:00 UTC+0000	25.733	1.0325873576757072%
NFX	1.02	33.65	2017-05-05 16:46:00 UTC+0000	34.195	1.6196136701337238%
KMI	1.0198	19.76	2017-05-05 16:30:00 UTC+0000	19.905	0.7338056680161964%
MPC	1.0197	49.56	2017-05-05 16:08:00 UTC+0000	50.21	1.311541565778862%
PXD	1.0194	165.63	2017-05-04 17:30:00 UTC+0000	164.67	-0.579605143995654%
HES	1.0177	45.84	2017-05-05 15:35:00 UTC+0000	46.89	2.290575916230364%
HBI	1.0175	20.88	2017-05-05 16:14:00 UTC+0000	21.34	2.2030651340996243%
BLL	1.0172	76.22	2017-05-05 16:06:00 UTC+0000	80.40	5.48412490160064%
VRSK	1.0171	78.01	2017-05-05 13:45:00 UTC+0000	79.46	1.8587360594795488%
ZBH	1.0167	116.85	2017-05-05 15:14:00 UTC+0000	116.17	-0.5819426615318757%
FMC	1.0164	70.73	2017-05-05 14:57:00 UTC+0000	71.595	1.2229605542202648%
DISCK	1.0163	26.08	2017-05-05 15:46:00 UTC+0000	26.27	0.7285276073619729%
FOXA	1.0156	29.04	2017-05-05 16:44:00 UTC+0000	28.51	-1.8250688705234053%
FLS	1.0155	48.63	2017-05-05 13:41:00 UTC+0000	48.837	0.4256631708821734%
COG	1.0149	23.48	2017-05-05 15:18:00 UTC+0000	23.73	1.0647359454855287%
VRTX	1.0146	116.39	2017-05-05 16:09:00 UTC+0000	114.65	-1.4949737949995656%
RIG	1.0144	10.34	2017-05-05 15:23:00 UTC+0000	11.10	7.350096711798848%
FOX	1.0142	28.50	2017-05-05 15:08:00 UTC+0000	28.345	-0.5438596491228131%
EMR	1.0138	58.17	2017-05-05 14:18:00 UTC+0000	58.60	0.7392126525700426%
COP	1.0135	45.92	2017-05-05 13:51:00 UTC+0000	46.30	0.8275261324041772%
ADP	1.0128	99.10	2017-05-05 14:43:00 UTC+0000	98.995	-0.10595358224014806%
SIG	1.012	63.90	2017-05-05 16:38:00 UTC+0000	64.78	1.3771517996870042%
CAT	1.0118	99.39	2017-05-05 15:13:00 UTC+0000	99.9092	0.5223865580038289%
MUR	1.0113	25.30	2017-05-05 16:54:00 UTC+0000	25.955	2.588932806324107%
KIM	1.0113	19.96	2017-05-05 16:46:00 UTC+0000	19.97	0.05010020040079333%
BXP	1.0113	123.37	2017-05-05 16:29:00 UTC+0000	123.53	0.12969117289454157%
CMG	1.0106	472.40	2017-05-05 15:03:00 UTC+0000	467.76	-0.982218458933104%
NBL	1.0099	30.61	2017-05-05 16:48:00 UTC+0000	30.63	0.06533812479581069%
TAP	1.0098	91.73	2017-05-05 14:09:00 UTC+0000	92.59	0.9375340673716259%
T	1.0097	38.01	2017-05-05 16:27:00 UTC+0000	38.3848	0.9860563009734369%
GGP	1.0096	22.30	2017-05-05 16:39:00 UTC+0000	22.24	-0.2690582959641308%
NAVI	1.0096	15.16	2017-05-05 16:30:00 UTC+0000	15.06	-0.659630606860151%
QRVO	1.0095	67.02	2017-05-05 14:07:00 UTC+0000	66.35	-0.9997015816174293%
UAA	1.0095	20.42	2017-05-05 16:50:00 UTC+0000	20.535	0.5631733594515076%
NOV	1.0095	33.25	2017-05-05 16:38:00 UTC+0000	34.03	2.34586466165414%
CBS	1.0092	63.85	2017-05-05 14:17:00 UTC+0000	64.48	0.9866875489428439%
DIS	1.0092	111.17	2017-05-05 16:20:00 UTC+0000	111.29	0.10794279032113607%
ENDP	1.0091	11.17	2017-05-05 16:15:00 UTC+0000	11.07	-0.8952551477171%
BBBY	1.0088	37.10	2017-05-05 16:46:00 UTC+0000	37.28	0.48517520215634047%
FLR	1.0088	50.60	2017-05-05 17:04:00 UTC+0000	47.90	-5.335968379446642%
DFS	1.0086	60.55	2017-05-05 16:38:00 UTC+0000	60.45	-0.16515276630882925%
WU	1.0085	19.40	2017-05-05 15:45:00 UTC+0000	19.405	0.025773195876310773%
EMN	1.0083	78.11	2017-05-05 15:24:00 UTC+0000	79.055	1.2098322877992729%
CMCSA	1.0082	38.29	2017-05-05 14:11:00 UTC+0000	38.555	0.6920867067119474%
LYB	1.0079	81.42	2017-05-05 13:51:00 UTC+0000	82.18	0.9334315892901124%
GWW	1.0078	187.54	2017-05-04 20:00:00 UTC+0000	187.54	0.0%
WHR	1.0077	183.93	2017-05-05 15:49:00 UTC+0000	184.38	0.24465829391615568%
HAL	1.0075	44.60	2017-05-05 15:23:00 UTC+0000	45.47	1.9506726457399148%
LUK	1.0074	25.34	2017-05-05 15:36:00 UTC+0000	25.60	1.0260457774269982%
GPS	1.0072	25.70	2017-05-05 13:38:00 UTC+0000	26.00	1.1673151750972721%
APA	1.0071	47.90	2017-05-05 14:58:00 UTC+0000	49.155	2.620041753653446%
NEM	1.0065	32.28	2017-05-05 14:04:00 UTC+0000	32.70	1.3011152416356975%
ALXN	1.0064	130.15	2017-05-05 15:52:00 UTC+0000	129.58	-0.4379562043795526%
PSX	1.0063	78.24	2017-05-05 16:00:00 UTC+0000	78.83	0.7540899795501099%
AES	1.006	11.09	2017-05-05 16:06:00 UTC+0000	11.2505	1.4472497745716906%
HST	1.0059	18.00	2017-05-05 15:13:00 UTC+0000	18.12	0.6666666666666821%
ARNC	1.0058	26.62	2017-05-05 14:57:00 UTC+0000	26.82	0.7513148009015813%
FRT	1.0057	131.40	2017-05-05 16:49:00 UTC+0000	132.68	0.9741248097412392%
GM	1.0054	33.15	2017-05-05 16:32:00 UTC+0000	33.56	1.2368024132730193%
PRGO	1.0053	73.12	2017-05-05 13:50:00 UTC+0000	73.09	-0.04102844638950165%
HP	1.0051	58.05	2017-05-05 16:30:00 UTC+0000	59.04	1.7054263565891459%
BBY	1.0049	50.87	2017-05-05 17:00:00 UTC+0000	51.35	0.9435816787890738%
TSCO	1.0049	61.54	2017-05-05 14:27:00 UTC+0000	61.37	-0.2762430939226568%
WYNN	1.0049	124.32	2017-05-05 14:40:00 UTC+0000	121.49	-2.2763835263835297%
SPG	1.0046	165.42	2017-05-05 15:57:00 UTC+0000	164.83	-0.35666787571029257%
SNI	1.0046	70.20	2017-05-05 13:50:00 UTC+0000	71.63	2.037037037037037%
PWR	1.0044	34.97	2017-05-05 15:25:00 UTC+0000	34.35	-1.7729482413497255%
XRX	1.0041	6.93	2017-05-05 14:34:00 UTC+0000	6.93	0.0%
DOW	1.004	61.42	2017-05-05 14:24:00 UTC+0000	61.955	0.8710517746662205%
M	1.004	28.92	2017-05-05 16:43:00 UTC+0000	29.07	0.5186721991701226%
CERN	1.004	64.12	2017-05-04 20:00:00 UTC+0000	64.12	0.0%
TGNA	1.004	25.00	2017-05-05 17:07:00 UTC+0000	25.625	2.499999999999991%
IDXX	1.0038	160.46	2017-05-05 16:34:00 UTC+0000	160.99	0.3303003863891263%
F	1.0037	11.00	2017-05-05 14:34:00 UTC+0000	10.98	-0.181818181818183%
URBN	1.0036	23.04	2017-05-05 16:12:00 UTC+0000	23.515	2.061631944444442%
WY	1.0036	33.10	2017-05-05 16:34:00 UTC+0000	33.295	0.5891238670694854%
TIF	1.0033	91.00	2017-05-05 15:06:00 UTC+0000	91.78	0.8571428571428674%
VTR	1.0031	62.65	2017-05-05 16:40:00 UTC+0000	63.405	1.2051077414205968%
AXP	1.0031	78.33	2017-05-05 15:59:00 UTC+0000	78.12	-0.2680965147452974%
AMZN	1.0031	937.53	2017-05-05 16:22:00 UTC+0000	933.19	-0.46291851994069155%
ETN	1.003	75.84	2017-05-05 16:32:00 UTC+0000	76.31	0.6197257383966148%
ADM	1.0028	42.40	2017-05-05 15:26:00 UTC+0000	42.615	0.5070754716981263%
NTAP	1.0027	39.77	2017-05-05 13:35:00 UTC+0000	39.76	-0.025144581342728678%
MU	1.0027	27.79	2017-05-05 13:40:00 UTC+0000	27.72	-0.25188916876573986%
ALK	1.0026	85.43	2017-05-05 14:59:00 UTC+0000	85.07	-0.4213976354910609%
NLSN	1.0026	39.89	2017-05-05 16:49:00 UTC+0000	40.16	0.6768613687640812%
SLB	1.0026	70.94	2017-05-05 14:25:00 UTC+0000	71.44	0.7048209754722201%
DOV	1.0026	77.06	2017-05-05 15:16:00 UTC+0000	78.42	1.764858551777837%
BIIB	1.0026	268.60	2017-05-05 16:41:00 UTC+0000	262.45	-2.2896500372300954%
CMI	1.0025	156.04	2017-05-05 13:53:00 UTC+0000	155.76	-0.17944116893104933%
XOM	1.0025	81.64	2017-05-05 13:43:00 UTC+0000	81.77	0.15923566878981443%
NVDA	1.0024	103.85	2017-05-05 13:47:00 UTC+0000	103.06	-0.7607125662012493%
SPLS	1.0023	9.61	2017-05-05 16:30:00 UTC+0000	9.60	-0.10405827263266776%
MCHP	1.0022	75.01	2017-05-05 15:03:00 UTC+0000	75.07	0.0799893347553482%
FLIR	1.0021	36.91	2017-05-05 16:13:00 UTC+0000	36.70	-0.5689515036575332%
L	1.002	46.75	2017-05-05 13:32:00 UTC+0000	47.00	0.5347593582887722%
LKQ	1.002	31.05	2017-05-05 16:27:00 UTC+0000	31.59	1.7391304347825987%
FB	1.002	150.85	2017-05-05 14:54:00 UTC+0000	150.26	-0.3911170036460132%
ADS	1.0019	253.68	2017-05-05 15:39:00 UTC+0000	252.76	-0.36266162093977483%
URI	1.0018	107.36	2017-05-05 15:12:00 UTC+0000	107.93	0.5309239940387567%
XEC	1.0018	115.83	2017-05-05 15:25:00 UTC+0000	118.78	2.546835880169218%
PFG	1.0018	64.43	2017-05-05 16:12:00 UTC+0000	64.28	-0.23281080242124608%
TWX	1.0017	98.30	2017-05-05 14:49:00 UTC+0000	98.30	0.0%
BMY	1.0016	55.19	2017-05-04 20:01:00 UTC+0000	55.19	0.0%
NSC	1.0015	116.84	2017-05-05 16:39:00 UTC+0000	116.96	0.1027045532351778%
UHS	1.0014	122.50	2017-05-05 16:21:00 UTC+0000	121.99	-0.41632653061225433%
FL	1.0014	76.13	2017-05-05 14:04:00 UTC+0000	76.16	0.039406278733755684%
AMP	1.0014	128.10	2017-05-05 13:30:00 UTC+0000	128.36	0.2029664324746383%
HCN	1.0013	69.86	2017-05-05 14:43:00 UTC+0000	69.80	-0.08588605782995362%
DD	1.0013	78.79	2017-05-05 16:49:00 UTC+0000	80.29	1.9037948978296804%
SLG	1.0013	104.86	2017-05-04 20:02:00 UTC+0000	104.86	0.0%
FE	1.0013	28.87	2017-05-05 17:07:00 UTC+0000	28.89	0.06927606511950568%
MDT	1.0012	83.91	2017-05-04 20:02:00 UTC+0000	83.91	0.0%
IVZ	1.0012	32.41	2017-05-05 14:48:00 UTC+0000	32.255	-0.47824745448933337%
JBHT	1.0012	88.55	2017-05-05 15:35:00 UTC+0000	88.41	-0.15810276679841806%
IRM	1.0012	34.75	2017-05-05 15:04:00 UTC+0000	34.96	0.6043165467625844%
PCAR	1.0012	66.90	2017-05-05 13:48:00 UTC+0000	66.71	-0.2840059790732652%
MSFT	1.0012	68.81	2017-05-05 14:13:00 UTC+0000	68.84	0.0435983141985119%
YHOO	1.0012	48.45	2017-05-05 16:17:00 UTC+0000	48.4238	-0.054076367389066515%
AVGO	1.0011	223.40	2017-05-05 17:02:00 UTC+0000	225.73	1.0429722470904235%
CNC	1.0009	75.87	2017-05-05 13:47:00 UTC+0000	76.65	1.0280743376828827%
AN	1.0009	40.43	2017-05-05 15:57:00 UTC+0000	40.45	0.04946821667080048%
CI	1.0009	156.73	2017-05-05 13:41:00 UTC+0000	161.49	3.037070120589558%
FFIV	1.0008	126.42	2017-05-05 16:03:00 UTC+0000	127.80	1.0915994304698584%
BSX	1.0008	26.35	2017-05-05 15:30:00 UTC+0000	26.46	0.4174573055028441%
VNO	1.0007	95.01	2017-05-05 17:07:00 UTC+0000	94.74	-0.2841806125671087%
MS	1.0006	43.28	2017-05-05 16:44:00 UTC+0000	42.88	-0.9242144177449174%
UNP	1.0006	110.33	2017-05-05 15:09:00 UTC+0000	110.29	-0.03625487174838682%
PHM	1.0006	22.15	2017-05-05 13:30:00 UTC+0000	22.29	0.6320541760722387%
SYK	1.0005	134.98	2017-05-05 17:00:00 UTC+0000	135.52	0.4000592680397208%
IP	1.0004	53.15	2017-05-05 16:29:00 UTC+0000	53.205	0.10348071495767108%
CAG	1.0004	37.70	2017-05-05 15:59:00 UTC+0000	37.765	0.17241379310344307%
WYN	1.0003	95.63	2017-05-05 15:49:00 UTC+0000	95.935	0.3189375718916754%
TXN	1.0003	79.30	2017-05-05 14:30:00 UTC+0000	79.28	-0.025220680958382147%
LLL	1.0003	167.99	2017-05-05 16:25:00 UTC+0000	167.90	-0.05357461753675574%
MON	1.0003	115.93	2017-05-05 14:45:00 UTC+0000	116.30	0.31915811265417204%
ANTM	1.0003	179.89	2017-05-05 16:23:00 UTC+0000	180.03	0.07782533770639422%
AFL	1.0002	74.39	2017-05-05 15:56:00 UTC+0000	74.13	-0.3495093426535867%
AAPL	1.0002	146.53	2017-05-05 14:28:00 UTC+0000	147.75	0.8325940080529559%
RHI	1.0001	46.81	2017-05-05 14:53:00 UTC+0000	46.57	-0.5127109591967605%
TSO	1.0001	78.92	2017-05-05 16:40:00 UTC+0000	80.18	1.5965534718702656%
NKE	1.0001	54.47	2017-05-05 13:48:00 UTC+0000	54.23	-0.44060950982192093%
CNP	1.0001	27.98	2017-05-05 14:46:00 UTC+0000	28.19	0.7505360972122954%
HBAN	1.0	13.05	2017-05-05 17:07:00 UTC+0000	12.97	-0.6130268199233679%
DLR	1.0	111.87	2017-05-05 17:07:00 UTC+0000	113.14	1.1352462679896203%
SE	1.0	40.68	2017-02-24 22:01:00 UTC+0000	40.68	0.0%
CRM	1.0	86.52	2017-05-05 16:55:00 UTC+0000	86.575	0.06356911696718814%
BEN	0.9999	42.46	2017-05-05 15:44:00 UTC+0000	42.73	0.6358926048045221%
HOG	0.9999	55.62	2017-05-05 14:14:00 UTC+0000	55.68	0.10787486515642097%
PEG	0.9998	43.48	2017-05-05 14:00:00 UTC+0000	43.76	0.6439742410303539%
RCL	0.9998	107.92	2017-05-05 14:42:00 UTC+0000	108.14	0.20385470719050947%
ADBE	0.9998	134.61	2017-05-05 14:10:00 UTC+0000	134.409	-0.14932025852464337%
MAT	0.9997	21.78	2017-05-05 15:54:00 UTC+0000	22.005	1.0330578512396604%
EXC	0.9997	34.05	2017-05-05 16:44:00 UTC+0000	34.28	0.6754772393539055%
JNPR	0.9997	30.50	2017-05-05 13:47:00 UTC+0000	30.64	0.459016393442635%
EXR	0.9996	73.31	2017-05-05 17:08:00 UTC+0000	73.30	-0.013640703860329229%
VLO	0.9996	64.37	2017-05-04 20:03:00 UTC+0000	64.37	0.0%
R	0.9996	68.37	2017-05-05 16:57:00 UTC+0000	68.37	0.0%
AMAT	0.9996	41.62	2017-05-05 16:58:00 UTC+0000	41.61	-0.024026910139351987%
HPQ	0.9994	18.79	2017-05-05 15:49:00 UTC+0000	18.89	0.532197977647697%
DNB	0.9994	110.48	2017-05-05 15:56:00 UTC+0000	112.15	1.5115858073859512%
SRCL	0.9993	85.73	2017-05-05 13:41:00 UTC+0000	86.14	0.47824565496326077%
DG	0.9993	73.37	2017-05-05 15:05:00 UTC+0000	73.55	0.2453318795147874%
PFE	0.9993	33.45	2017-05-05 16:19:00 UTC+0000	33.2769	-0.5174887892376856%
CSCO	0.9992	34.18	2017-05-05 16:21:00 UTC+0000	34.225	0.13165593914570284%
VZ	0.9992	45.88	2017-05-05 16:28:00 UTC+0000	46.60	1.5693112467306092%
HOLX	0.9992	45.105	2017-05-05 15:57:00 UTC+0000	44.91	-0.43232457598936236%
ROST	0.9992	64.57	2017-05-05 16:26:00 UTC+0000	64.59	0.030974136595962598%
LEN	0.9991	49.78	2017-05-05 16:28:00 UTC+0000	49.79	0.02008838891121023%
SCG	0.9991	64.92	2017-05-05 16:30:00 UTC+0000	65.69	1.1860751694392935%
SCHW	0.9991	40.16	2017-05-05 16:39:00 UTC+0000	39.86	-0.7470119521912233%
RAI	0.999	64.50	2017-05-05 15:48:00 UTC+0000	64.7925	0.45348837209302495%
MO	0.999	70.31	2017-05-05 14:44:00 UTC+0000	70.61	0.42668183757643696%
BRK-B	0.999	166.34	2017-05-05 15:03:00 UTC+0000	166.45	0.06612961404350859%
TMK	0.999	76.71	2017-05-05 17:08:00 UTC+0000	76.50	-0.27375831052013355%
NWSA	0.999	12.57	2017-05-05 16:18:00 UTC+0000	12.645	0.5966587112171684%
GLW	0.9988	28.84	2017-05-05 14:50:00 UTC+0000	28.77	-0.24271844660194164%
ADI	0.9987	75.66	2017-05-05 14:55:00 UTC+0000	75.6601	0.0001321702352674592%
IFF	0.9987	138.47	2017-05-05 16:03:00 UTC+0000	139.57	0.7943958980284549%
INTC	0.9987	36.85	2017-05-04 20:00:00 UTC+0000	36.85	0.0%
ESRX	0.9987	61.79	2017-05-05 15:48:00 UTC+0000	61.61	-0.2913092733451972%
MNK	0.9986	45.80	2017-05-05 15:04:00 UTC+0000	45.30	-1.091703056768556%
IPG	0.9986	23.97	2017-05-05 13:59:00 UTC+0000	24.09	0.5006257822277815%
RSG	0.9986	63.10	2017-05-05 15:08:00 UTC+0000	63.17	0.11093502377179654%
JCI	0.9986	41.47	2017-05-05 14:13:00 UTC+0000	41.76	0.6993006993006867%
OMC	0.9986	82.93	2017-05-05 17:00:00 UTC+0000	83.50	0.6873266610394335%
NWS	0.9985	12.85	2017-05-05 17:07:00 UTC+0000	12.95	0.7782101167315147%
CHRW	0.9985	72.56	2017-05-05 15:16:00 UTC+0000	73.08	0.7166482910694549%
VRSN	0.9985	90.56	2017-05-05 15:48:00 UTC+0000	90.44	-0.13250883392226243%
ROK	0.9985	154.90	2017-05-04 20:02:00 UTC+0000	154.90	0.0%
SWKS	0.9984	100.92	2017-05-05 14:54:00 UTC+0000	100.58	-0.3369005152596194%
MAR	0.9984	96.88	2017-05-05 14:54:00 UTC+0000	96.81	-0.07225433526011349%
BLK	0.9984	383.31	2017-05-05 15:47:00 UTC+0000	383.00	-0.08087448801231689%
MJN	0.9983	88.82	2017-05-05 16:36:00 UTC+0000	88.86	0.04503490204910143%
TDC	0.9983	29.05	2017-05-05 15:35:00 UTC+0000	29.025	-0.0860585197934638%
WRK	0.9983	54.11	2017-05-04 20:00:00 UTC+0000	54.11	0.0%
PBCT	0.9982	17.51	2017-05-05 14:59:00 UTC+0000	17.36	-0.8566533409480437%
BWA	0.9982	41.33	2017-05-05 15:15:00 UTC+0000	41.58	0.6048874909266866%
MSI	0.9982	86.10	2017-05-05 14:08:00 UTC+0000	84.39	-1.9860627177700318%
CINF	0.9982	70.96	2017-05-05 17:03:00 UTC+0000	70.73	-0.32412626832016844%
CAH	0.9982	72.74	2017-05-05 14:48:00 UTC+0000	72.425	-0.4330492163871269%
SRE	0.9982	111.37	2017-05-05 16:05:00 UTC+0000	111.78	0.3681422286073488%
COF	0.9981	82.49	2017-05-05 14:54:00 UTC+0000	82.235	-0.3091283791974764%
ADSK	0.9981	93.25	2017-05-05 14:41:00 UTC+0000	92.81	-0.4718498659517456%
LOW	0.998	85.40	2017-05-05 16:44:00 UTC+0000	85.59	0.22248243559719327%
UPS	0.998	107.05	2017-05-05 16:34:00 UTC+0000	107.22	0.1588042970574577%
PLD	0.9979	54.11	2017-05-05 16:37:00 UTC+0000	54.42	0.572907041212356%
BA	0.9978	183.07	2017-05-05 16:24:00 UTC+0000	184.35	0.6991861036761859%
COL	0.9978	103.44	2017-05-05 15:31:00 UTC+0000	103.42	-0.019334880123744735%
CBG	0.9978	35.85	2017-05-05 15:53:00 UTC+0000	36.47	1.7294281729428151%
WM	0.9978	72.95	2017-05-04 20:02:00 UTC+0000	72.95	0.0%
INTU	0.9977	125.95	2017-05-05 16:51:00 UTC+0000	125.939	-0.00873362445416026%
NDAQ	0.9976	67.96	2017-05-05 14:08:00 UTC+0000	67.97	0.014714537963511631%
AMT	0.9975	127.39	2017-05-05 15:52:00 UTC+0000	127.63	0.18839783342490257%
HCA	0.9975	83.48	2017-05-05 16:42:00 UTC+0000	83.185	-0.3533780546238652%
ALLE	0.9975	77.35	2017-05-05 16:15:00 UTC+0000	77.18	-0.2197802197802079%
BCR	0.9974	306.60	2017-05-05 16:17:00 UTC+0000	307.80	0.3913894324853118%
VAR	0.9974	91.58	2017-05-05 17:08:00 UTC+0000	91.89	0.33850185630051044%
ED	0.9974	78.88	2017-05-05 15:12:00 UTC+0000	80.015	1.4388945233265726%
STT	0.9974	83.72	2017-05-05 15:04:00 UTC+0000	83.68	-0.047778308647861145%
TSN	0.9974	62.97	2017-05-05 15:30:00 UTC+0000	63.5899	0.9844370335080121%
EXPD	0.9974	54.47	2017-05-05 16:58:00 UTC+0000	54.49	0.036717459151835996%
HON	0.9974	131.20	2017-05-05 14:44:00 UTC+0000	130.84	-0.2743902439024226%
LH	0.9974	140.90	2017-05-05 15:00:00 UTC+0000	141.49	0.41873669268985836%
